epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,14299.2,0.53798,0.36229,1.05607,0.87483,0.78337,0.87254,0.59577,1.33248,0.83804,1.88061,0.000955951,0.000955951,0.000955951
164,14384.3,0.53943,0.36518,1.05568,0.8733,0.78561,0.8731,0.59601,1.32967,0.83412,1.87574,0.000912754,0.000912754,0.000912754
165,14469.7,0.53186,0.35798,1.05173,0.88881,0.7781,0.87275,0.59735,1.32925,0.83317,1.87526,0.000870577,0.000870577,0.000870577
166,14555,0.53214,0.35747,1.05289,0.89481,0.77389,0.87454,0.59736,1.32917,0.83182,1.87653,0.000829431,0.000829431,0.000829431
167,14643,0.51632,0.35028,1.03876,0.8982,0.77537,0.87467,0.59905,1.32801,0.83105,1.87509,0.000789327,0.000789327,0.000789327
168,14734.3,0.52524,0.3532,1.04812,0.89425,0.77228,0.87319,0.59889,1.32694,0.83284,1.87352,0.000750274,0.000750274,0.000750274
169,14813.5,0.51908,0.35538,1.04317,0.8887,0.77662,0.87338,0.59927,1.32589,0.8343,1.87365,0.000712282,0.000712282,0.000712282
170,14901.7,0.51388,0.34551,1.03624,0.89517,0.77521,0.87372,0.59839,1.32673,0.83408,1.87473,0.00067536,0.00067536,0.00067536
171,14986.9,0.51499,0.3452,1.03862,0.90095,0.77232,0.87463,0.59957,1.32652,0.8343,1.87473,0.000639518,0.000639518,0.000639518
172,15081,0.51471,0.35373,1.03587,0.88154,0.78814,0.87507,0.59841,1.32597,0.83315,1.8747,0.000604763,0.000604763,0.000604763
173,15172.3,0.51476,0.34929,1.04097,0.8847,0.78272,0.87379,0.59883,1.32544,0.83293,1.87483,0.000571106,0.000571106,0.000571106
174,15260.5,0.52124,0.34986,1.04726,0.88369,0.78116,0.87268,0.59827,1.32644,0.83203,1.87592,0.000538554,0.000538554,0.000538554
175,15352.3,0.50027,0.34166,1.029,0.88349,0.77806,0.87301,0.59955,1.32701,0.83144,1.87752,0.000507115,0.000507115,0.000507115
176,15440.2,0.51047,0.34624,1.04036,0.89133,0.77316,0.87309,0.59993,1.3274,0.83096,1.8791,0.000476796,0.000476796,0.000476796
177,15528.2,0.50197,0.35018,1.03549,0.89393,0.76979,0.87259,0.59949,1.32762,0.83024,1.87989,0.000447606,0.000447606,0.000447606
178,15613.4,0.50617,0.34281,1.03645,0.89337,0.76876,0.87201,0.60005,1.3267,0.83046,1.88024,0.000419552,0.000419552,0.000419552
179,15701.6,0.51553,0.35983,1.04064,0.89719,0.76771,0.87187,0.60024,1.32585,0.83049,1.87968,0.00039264,0.00039264,0.00039264
