epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,5362.77,0.55678,0.37309,1.05134,0.85381,0.77228,0.86359,0.58556,1.34832,0.86132,1.86113,0.00138883,0.00138883,0.00138883
155,5397.45,0.55439,0.36553,1.04968,0.858,0.76639,0.8608,0.58576,1.34676,0.86317,1.86188,0.00133695,0.00133695,0.00133695
156,5432.04,0.55554,0.36821,1.04981,0.85734,0.77245,0.85947,0.58648,1.34721,0.86991,1.8623,0.00128599,0.00128599,0.00128599
157,5466.6,0.55032,0.36771,1.04836,0.84461,0.77866,0.86009,0.58502,1.34716,0.87501,1.86275,0.00123596,0.00123596,0.00123596
158,5501.26,0.55656,0.36566,1.05627,0.84659,0.78264,0.86318,0.58671,1.34833,0.87632,1.86405,0.00118687,0.00118687,0.00118687
159,5535.96,0.54579,0.36119,1.0449,0.8399,0.78628,0.86263,0.58659,1.34723,0.87588,1.86467,0.00113873,0.00113873,0.00113873
160,5570.51,0.54194,0.36255,1.03984,0.83749,0.78943,0.86422,0.58587,1.34798,0.8755,1.86604,0.00109156,0.00109156,0.00109156
161,5605.2,0.54171,0.36292,1.04331,0.83218,0.78996,0.8629,0.58401,1.34887,0.87472,1.86828,0.00104537,0.00104537,0.00104537
162,5639.95,0.53735,0.36013,1.04327,0.83571,0.78974,0.86364,0.58424,1.34817,0.8739,1.86756,0.00100016,0.00100016,0.00100016
163,5674.54,0.53808,0.36054,1.04287,0.83351,0.78975,0.86374,0.58513,1.34985,0.87267,1.86828,0.000955951,0.000955951,0.000955951
164,5709.27,0.54115,0.36419,1.0424,0.83235,0.79009,0.86497,0.58639,1.35008,0.86903,1.867,0.000912754,0.000912754,0.000912754
165,5744.07,0.53018,0.355,1.03579,0.83929,0.78036,0.86382,0.58599,1.34998,0.86911,1.8667,0.000870577,0.000870577,0.000870577
166,5778.68,0.53466,0.35628,1.04213,0.82822,0.7848,0.86188,0.58471,1.35027,0.86815,1.86912,0.000829431,0.000829431,0.000829431
167,5813.29,0.51703,0.35331,1.02667,0.83218,0.78203,0.86202,0.58615,1.34896,0.86373,1.86851,0.000789327,0.000789327,0.000789327
168,5847.96,0.52471,0.3497,1.03426,0.83637,0.77589,0.86171,0.5859,1.34854,0.86445,1.86795,0.000750274,0.000750274,0.000750274
169,5882.57,0.5198,0.35305,1.02889,0.82493,0.7872,0.86197,0.58592,1.34758,0.86492,1.86805,0.000712282,0.000712282,0.000712282
170,5917.22,0.51535,0.34544,1.02416,0.85361,0.76376,0.86296,0.58746,1.34719,0.86491,1.86789,0.00067536,0.00067536,0.00067536
171,5951.93,0.51277,0.34505,1.02277,0.83589,0.78063,0.8618,0.58711,1.3472,0.86519,1.86874,0.000639518,0.000639518,0.000639518
172,5986.44,0.51938,0.35573,1.027,0.83903,0.7808,0.86241,0.58775,1.34639,0.86519,1.86922,0.000604763,0.000604763,0.000604763
173,6021.17,0.51503,0.34664,1.026,0.84437,0.77678,0.86289,0.58776,1.34625,0.86526,1.87127,0.000571106,0.000571106,0.000571106
174,6055.78,0.52163,0.34827,1.03239,0.85471,0.77165,0.86289,0.58809,1.34519,0.8644,1.87006,0.000538554,0.000538554,0.000538554
175,6090.52,0.50269,0.34248,1.01746,0.84992,0.77738,0.86426,0.5883,1.34394,0.86343,1.8693,0.000507115,0.000507115,0.000507115
176,6125.22,0.51038,0.34311,1.02473,0.85598,0.77353,0.86355,0.58795,1.34259,0.86222,1.86807,0.000476796,0.000476796,0.000476796
177,6159.81,0.50146,0.34966,1.02051,0.86203,0.77116,0.86332,0.58762,1.34158,0.86175,1.86794,0.000447606,0.000447606,0.000447606
178,6194.41,0.50948,0.3438,1.02361,0.86792,0.76712,0.86269,0.5874,1.34126,0.8623,1.86959,0.000419552,0.000419552,0.000419552
179,6229.08,0.51515,0.35644,1.02704,0.86776,0.76864,0.8632,0.58781,1.3404,0.86325,1.86886,0.00039264,0.00039264,0.00039264
